comp,utc,ματς,diff,λ,p1X2,diff_A,λ_A,p1X2_A,diff_AV,λ_AV,p1X2_AV,αρχικη_AH,Crown,Crown_edgeA_H,Crown_edgeA_A,Crown_edgeAV_H,Crown_edgeAV_A,Crown_fair_H,Crown_edge_H,Crown_fair_A,Crown_edge_A,Crown_1X2,SBOBET,SBOBET_edgeA_H,SBOBET_edgeA_A,SBOBET_edgeAV_H,SBOBET_edgeAV_A,SBOBET_fair_H,SBOBET_edge_H,SBOBET_fair_A,SBOBET_edge_A,νεκρη,PICK_χαρτι,PICK_αγκυρα,PICK_αγκυρα_αξια,απουσιες_κλησης
NL A,2026-09-27T16:00,Denmark - Wales,294,2.20-0.76,69/21/10,315,2.28-0.75,71/20/9,356,2.45-0.72,75/17/7,—,-1.00 2.03/1.79,+18%,-25%,+26%,-32%,1.69,+14%,2.44,-21%,1.59/3.80/4.85,—,,,,,,,,,,"FAV 1 -1.00 @2.03 (Crown, +14%)","FAV 1 -1.00 @2.03 (Crown, +18%)","FAV 1 -1.00 @2.03 (Crown, +26%) · 1Χ2 φαβ γηπ ≥75% @1.59","Denmark: Mika Biereth(22.2M), Conrad Harder(18.3M) | Wales: Harry Wilson(15.1M), Joe Rodon(13.5M)"
NL A,2026-09-27T16:00,Serbia - Netherlands,-237,0.82-1.98,12/24/64,-249,0.83-2.04,11/23/65,-316,0.78-2.32,8/19/73,—,+1.00 1.78/2.04,-13%,+4%,-25%,+18%,2.04,-11%,1.96,+2%,4.70/3.80/1.60,—,,,,,,,,,,,,"FAV 2 -1.00 @2.04 (Crown, +18%)","Serbia: Nikola Milenković(25.6M), Veljko Milosavljević(24.1M) | Netherlands: Xavi Simons(47.1M), Matthijs de Ligt(39.9M)"
NL B,2026-09-27T16:00,Austria - Kosovo,205,2.07-1.07,58/27/15,175,1.95-1.10,54/29/17,197,2.04-1.08,57/28/16,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Austria: Christoph Baumgartner(14.8M), Leopold Querfeld(13.8M)"
NL D,2026-09-27T16:00,Gibraltar - Andorra,-30,0.90-1.05,29/34/37,-111,0.59-1.13,21/31/48,-126,0.58-1.19,20/31/50,—,+0.25 1.80/2.02,-6%,+11%,-9%,+14%,1.58,+12%,2.25,-10%,3.25/2.76/2.33,—,,,,,,,,,,,,,"Gibraltar: Louie Annesley(0.2M), Christian López(0.2M)"
NL A,2026-09-27T18:45,Germany - Greece,301,2.27-0.79,70/21/9,298,2.29-0.84,69/21/10,348,2.49-0.80,74/18/8,—,-1.25 1.80/2.02,-7%,+8%,+2%,-3%,1.91,-6%,1.86,+7%,1.36/4.80/6.40,—,,,,,,,,,,,,,Greece: Giannis Konstantelias(15.6M)
NL A,2026-09-27T18:45,Norway - Portugal,-9,1.32-1.36,31/34/35,-47,1.32-1.55,27/33/40,-62,1.31-1.61,25/33/42,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Portugal: Matheus Nunes(38.3M), Rodrigo Mora(34.1M)"
NL B,2026-09-27T18:45,Israel - Ireland,-34,1.16-1.33,29/34/38,-5,1.18-1.21,31/34/35,-58,1.14-1.42,26/33/41,—,-0.00 1.97/1.85,-3%,-5%,-14%,+5%,2.25,-10%,1.8,+1%,2.60/3.25/2.45,—,,,,,,,,,,,,,"Ireland: Nathan Collins(31.8M), Evan Ferguson(18.0M)"
NL B,2026-09-28T16:00,Georgia - Ukraine,-89,0.90-1.33,23/32/45,-37,1.17-1.35,28/34/38,-33,1.17-1.33,28/34/38,—,-0.00 1.88/1.94,-13%,+5%,-12%,+4%,2.84,-24%,1.54,+17%,2.52/3.15/2.58,—,,,,,,,,,,,,,"Ukraine: Taras Mykhavko(6.7M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Yehor Yarmoliuk(31.9M)"
NL C,2026-09-28T16:00,Armenia - Montenegro,-23,1.09-1.20,30/34/36,-43,1.05-1.26,27/34/39,-69,1.03-1.37,25/33/43,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Montenegro: Sead Hakšabanović(1.8M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Stefan Milić(0.9M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
NL C,2026-09-28T16:00,Latvia - Cyprus,-23,1.02-1.14,30/34/36,-18,1.02-1.10,30/34/36,-60,0.98-1.28,25/33/41,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Latvia: Kristaps Grabovskis(0.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Raimonds Krollis(1.4M) | Cyprus: Konstantinos Laifis(0.7M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Christos Sielis(0.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
NL A,2026-09-28T18:45,Belgium - France,-116,1.26-1.83,21/31/48,-113,1.06-1.60,21/31/48,-169,1.01-1.83,16/28/56,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Belgium: Malick Fofana(27.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Koni De Winter(20.9M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται) | France: William Saliba(82.1M), Hugo Ekitiké(79.1M)"
NL A,2026-09-28T18:45,Turkiye - Italy,1,1.28-1.28,32/34/33,-68,1.24-1.57,25/33/42,-92,1.22-1.67,22/32/45,—,-0.00 1.98/1.84,-16%,+6%,-21%,+11%,2.0,-2%,2.0,-7%,2.60/3.30/2.42,—,,,,,,,,,,,,,"Turkiye: Orkun Kökcü(19.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Kenan Yıldız(60.6M) | Italy: Alessandro Bastoni(52.1M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Federico Dimarco(37.1M)"
NL B,2026-09-28T18:45,Northern Ireland - Hungary,-108,1.12-1.65,21/32/47,-20,1.18-1.27,30/34/36,-63,1.15-1.45,25/33/42,—,+0.25 1.89/1.93,+17%,-14%,+7%,-5%,1.93,-3%,1.8,+5%,3.20/2.98/2.21,—,,,,,,,,,,,,,"Northern Ireland: Conor Bradley(28.3M) | Hungary: Callum Styles(2.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Barnabas Varga(2.1M, χειρ.)"
NL B,2026-09-28T18:45,Romania - Bosnia and Herzegovina,64,1.44-1.12,40/33/27,13,1.23-1.16,33/34/32,17,1.24-1.16,34/34/32,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Romania: Daniel Bîrligea(2.4M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Cătălin Cîrjan(2.2M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται) | Bosnia and Herzegovina: Amar Dedić(13.6M)"
NL B,2026-09-28T18:45,Sweden - Poland,121,1.72-1.13,48/31/21,146,1.83-1.13,50/31/19,195,2.04-1.09,56/28/16,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Sweden: Dejan Kulusevski(36.6M), Anthony Elanga(36.3M) | Poland: Jan Ziólkowski(11.0M), Kamil Grabara(10.4M)"
NL C,2026-09-29T16:00,Finland - Belarus,153,1.77-1.02,52/30/18,188,1.86-0.95,56/28/16,235,2.05-0.91,62/25/13,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Finland: Oliver Antman(2.6M), Naatan Skyttä(2.6M) | Belarus: Dmitriy Prishchepa(0.8M), Ruslan Myalkovskiy(0.8M)"
NL C,2026-09-29T16:00,Moldova - Faroe Islands,-6,1.04-1.07,32/34/34,-56,0.99-1.26,26/33/41,-27,1.01-1.14,29/34/37,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Moldova: Oleg Reabciuk(1.2M), Ion Nicolăescu(0.9M) | Faroe Islands: Andrias Edmundsson(1.6M)"
NL A,2026-09-29T18:45,Czechia - England,-329,0.78-2.39,8/18/74,-305,0.83-2.31,9/20/72,-420,0.74-2.78,5/13/82,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Czechia: Patrik Schick(14.8M), Tomás Souček(9.7M) | England: Declan Rice(93.0M), Cole Palmer(91.9M)"
NL A,2026-09-29T18:45,Spain - Croatia,445,2.93-0.75,83/12/5,396,2.74-0.82,79/15/6,464,3.02-0.77,84/11/4,—,-1.50 1.83/1.99,+1%,-14%,+13%,-27%,1.63,+11%,2.59,-24%,1.26/5.20/8.70,—,,,,,,,,,,"FAV 1 -1.50 @1.83 (Crown, +11%) · 1Χ2 φαβ γηπ ≥75% @1.26",,"FAV 1 -1.50 @1.83 (Crown, +13%) · 1Χ2 φαβ γηπ ≥75% @1.26",
NL B,2026-09-29T18:45,Scotland - Switzerland,-136,0.91-1.57,19/30/51,-117,0.93-1.50,20/31/49,-147,0.90-1.61,18/30/53,—,+0.25 2.02/1.80,+2%,+1%,-5%,+7%,2.05,-3%,1.68,+5%,3.25/3.30/2.05,—,,,,,,,,,,,,,"Scotland: Scott McTominay(32.8M), Tommy Conway(10.2M) | Switzerland: Denis Zakaria(19.2M), Noah Okafor(17.2M)"
NL B,2026-09-29T18:45,Slovenia - North Macedonia,228,2.10-0.99,61/25/13,191,1.94-1.01,56/28/16,242,2.15-0.97,62/25/13,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Slovenia: Benjamin Sesko(56.2M, χειρ.)"
NL C,2026-09-29T18:45,Bulgaria - Estonia,190,1.86-0.93,56/28/16,154,1.68-0.93,51/30/19,210,1.91-0.89,58/27/15,—,—,,,,,,,,,,—,,,,,,,,,,,,,Estonia: Marten-Chris Paalberg(0.9M)
NL C,2026-09-29T18:45,Luxembourg - Iceland,-171,0.76-1.59,16/28/55,-120,0.79-1.38,20/31/49,-182,0.74-1.63,15/28/57,—,—,,,,,,,,,,—,,,,,,,,,,,,,Iceland: Albert Guðmundsson(11.1M)
NL C,2026-09-29T18:45,San Marino - Albania,-824,0.15-4.12,1/2/98,-631,0.25-3.31,2/5/93,-821,0.15-4.09,1/2/97,—,—,,,,,,,,,,—,,,,,,,,,,,,,Albania: Armando Broja(9.4M)
NL C,2026-09-29T18:45,Slovakia - Kazakhstan,393,2.50-0.57,79/15/6,346,2.29-0.61,74/18/8,433,2.64-0.54,82/13/5,—,—,,,,,,,,,,—,,,,,,,,,,,,,"Slovakia: Dávid Hancko(29.2M), Stanislav Lobotka(9.0M) | Kazakhstan: Dastan Satpaev(2.7M), Baktiyor Zaynutdinov(1.6M)"
NL D,2026-10-01T16:00,Azerbaijan - Liechtenstein,479,2.68-0.33,86/10/4,480,2.65-0.32,85/11/4,480,2.65-0.32,85/11/4,,—,,,,,,,,,,,,,,,,,,,,,,,"Azerbaijan: Nəriman Akhundzada(2.1M), Elvin Cəfərquliyev(1.2M) | Liechtenstein: Simon Lüchinger(0.1M)"
NL A,2026-10-01T18:45,Denmark - Portugal,-72,1.26-1.61,25/33/42,-104,1.02-1.52,21/32/47,-144,0.99-1.69,18/30/52,,—,,,,,,,,,,,,,,,,,,,,,,,"Denmark: Mika Biereth(22.2M), Conrad Harder(18.3M) | Portugal: Matheus Nunes(38.3M), Rodrigo Mora(34.1M)"
NL A,2026-10-01T18:45,Germany - Serbia,378,2.57-0.72,78/16/6,424,2.77-0.71,81/14/5,490,3.04-0.66,86/10/4,,—,,,,,,,,,,,,,,,,,,,,,,,"Serbia: Nikola Milenković(25.6M), Veljko Milosavljević(24.1M)"
NL A,2026-10-01T18:45,Greece - Netherlands,-160,0.90-1.68,17/29/54,-123,0.96-1.56,20/31/49,-173,0.93-1.77,16/28/56,,—,,,,,,,,,,,,,,,,,,,,,,,"Greece: Giannis Konstantelias(15.6M) | Netherlands: Xavi Simons(47.1M), Matthijs de Ligt(39.9M)"
NL A,2026-10-01T18:45,Wales - Norway,-237,0.82-1.98,12/24/64,-252,0.81-2.04,11/23/66,-318,0.76-2.31,8/19/73,,—,,,,,,,,,,,,,,,,,,,,,,,"Wales: Harry Wilson(15.1M), Joe Rodon(13.5M)"
NL B,2026-10-01T18:45,Ireland - Austria,-80,1.17-1.56,24/33/43,-59,1.19-1.47,26/33/41,-65,1.18-1.50,25/33/42,,—,,,,,,,,,,,,,,,,,,,,,,,"Ireland: Nathan Collins(31.8M), Evan Ferguson(18.0M) | Austria: Christoph Baumgartner(14.8M), Leopold Querfeld(13.8M)"
NL B,2026-10-01T18:45,Israel - Kosovo,-29,1.17-1.31,29/34/37,-9,1.18-1.23,31/34/35,-46,1.15-1.38,27/34/40,,—,,,,,,,,,,,,,,,,,,,,,,,
NL D,2026-10-01T18:45,Malta - Gibraltar,406,2.39-0.41,80/14/6,366,2.20-0.43,76/17/7,434,2.48-0.37,82/13/5,,—,,,,,,,,,,,,,,,,,,,,,,,"Gibraltar: Louie Annesley(0.2M), Christian López(0.2M)"
NL C,2026-10-02T14:00,Kazakhstan - Moldova,183,1.79-0.90,56/28/16,159,1.67-0.90,52/30/18,175,1.74-0.89,54/29/17,,—,,,,,,,,,,,,,,,,,,,,,,,"Kazakhstan: Dastan Satpaev(2.7M), Baktiyor Zaynutdinov(1.6M) | Moldova: Oleg Reabciuk(1.2M), Ion Nicolăescu(0.9M)"
NL C,2026-10-02T16:00,Cyprus - Armenia,-58,1.02-1.31,26/33/41,42,1.23-1.02,37/34/29,4,1.07-1.05,32/34/34,,—,,,,,,,,,,,,,,,,,,,,,,,"Cyprus: Konstantinos Laifis(0.7M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Christos Sielis(0.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
NL C,2026-10-02T16:00,Latvia - Montenegro,-225,0.65-1.75,13/25/62,-139,0.71-1.38,18/30/52,-245,0.63-1.82,11/23/65,,—,,,,,,,,,,,,,,,,,,,,,,,"Latvia: Kristaps Grabovskis(0.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Raimonds Krollis(1.4M) | Montenegro: Sead Hakšabanović(1.8M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Stefan Milić(0.9M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
NL A,2026-10-02T18:45,Belgium - Turkiye,166,1.97-1.16,53/29/17,226,1.98-0.88,60/26/14,233,2.01-0.88,61/25/13,,—,,,,,,,,,,,,,,,,,,,,,,,"Belgium: Malick Fofana(27.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Koni De Winter(20.9M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται) | Turkiye: Orkun Kökcü(19.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Kenan Yıldız(60.6M)"
NL A,2026-10-02T18:45,France - Italy,283,2.25-0.86,68/22/10,271,2.24-0.92,66/23/11,310,2.40-0.89,70/20/9,,—,,,,,,,,,,,,,,,,,,,,,,,"France: William Saliba(82.1M), Hugo Ekitiké(79.1M) | Italy: Alessandro Bastoni(52.1M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Federico Dimarco(37.1M)"
NL B,2026-10-02T18:45,Bosnia and Herzegovina - Sweden,-130,1.10-1.73,19/31/50,-96,0.90-1.37,22/32/46,-185,0.84-1.73,15/27/58,,—,,,,,,,,,,,,,,,,,,,,,,,"Bosnia and Herzegovina: Amar Dedić(13.6M) | Sweden: Dejan Kulusevski(36.6M), Anthony Elanga(36.3M)"
NL B,2026-10-02T18:45,Hungary - Georgia,179,1.94-1.06,55/28/16,140,1.77-1.09,49/31/20,139,1.76-1.09,49/31/20,,—,,,,,,,,,,,,,,,,,,,,,,,"Hungary: Callum Styles(2.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Barnabas Varga(2.1M, χειρ.)"
NL B,2026-10-02T18:45,Poland - Romania,185,1.95-1.05,56/28/16,178,1.92-1.05,54/29/17,213,2.06-1.02,59/27/14,,—,,,,,,,,,,,,,,,,,,,,,,,"Poland: Jan Ziólkowski(11.0M), Kamil Grabara(10.4M) | Romania: Daniel Bîrligea(2.4M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Cătălin Cîrjan(2.2M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
NL B,2026-10-02T18:45,Ukraine - Northern Ireland,257,2.02-0.76,65/23/11,156,1.84-1.08,51/30/19,197,2.00-1.05,57/28/16,,—,,,,,,,,,,,,,,,,,,,,,,,"Ukraine: Taras Mykhavko(6.7M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Yehor Yarmoliuk(31.9M) | Northern Ireland: Conor Bradley(28.3M)"
NL C,2026-10-02T18:45,Faroe Islands - Slovakia,-330,0.62-2.23,8/18/74,-208,0.72-1.73,14/26/61,-342,0.62-2.27,7/17/75,,—,,,,,,,,,,,,,,,,,,,,,,,"Faroe Islands: Andrias Edmundsson(1.6M) | Slovakia: Dávid Hancko(29.2M), Stanislav Lobotka(9.0M)"
NL C,2026-10-03T13:00,Finland - Albania,-5,1.15-1.17,32/34/34,-9,1.13-1.18,31/34/35,-55,1.10-1.36,26/33/41,,—,,,,,,,,,,,,,,,,,,,,,,,"Finland: Oliver Antman(2.6M), Naatan Skyttä(2.6M) | Albania: Armando Broja(9.4M)"
NL A,2026-10-03T16:00,Croatia - England,-170,0.93-1.77,16/28/55,-160,0.97-1.75,17/29/54,-225,0.92-2.01,13/25/63,,—,,,,,,,,,,,,,,,,,,,,,,,"England: Declan Rice(93.0M), Cole Palmer(91.9M)"
NL C,2026-10-03T16:00,Belarus - San Marino,786,3.95-0.15,97/2/1,554,2.95-0.26,89/8/3,652,3.35-0.18,93/5/2,,—,,,,,,,,,,,,,,,,,,,,,,,"Belarus: Dmitriy Prishchepa(0.8M), Ruslan Myalkovskiy(0.8M)"
NL C,2026-10-03T16:00,Estonia - Luxembourg,-48,1.04-1.28,27/34/39,-54,1.01-1.28,26/33/41,-103,0.98-1.48,21/32/47,,—,,,,,,,,,,,,,,,,,,,,,,,Estonia: Marten-Chris Paalberg(0.9M)
NL C,2026-10-03T16:00,Iceland - Bulgaria,269,2.00-0.68,66/23/11,261,1.94-0.68,65/24/12,314,2.16-0.64,71/20/9,,—,,,,,,,,,,,,,,,,,,,,,,,Iceland: Albert Guðmundsson(11.1M)
NL A,2026-10-03T18:45,Spain - Czechia,603,3.55-0.60,92/6/2,542,3.30-0.67,89/8/3,659,3.78-0.58,94/5/2,,—,,,,,,,,,,,,,,,,,,,,,,,"Czechia: Patrik Schick(14.8M), Tomás Souček(9.7M)"
NL B,2026-10-03T18:45,North Macedonia - Scotland,-191,0.78-1.72,15/27/58,-123,0.83-1.43,20/31/49,-214,0.76-1.80,13/26/61,,—,,,,,,,,,,,,,,,,,,,,,,,"Scotland: Scott McTominay(32.8M), Tommy Conway(10.2M)"
NL B,2026-10-03T18:45,Switzerland - Slovenia,340,2.40-0.73,74/18/8,289,2.18-0.78,68/22/10,358,2.47-0.73,75/17/7,,—,,,,,,,,,,,,,,,,,,,,,,,"Switzerland: Denis Zakaria(19.2M), Noah Okafor(17.2M) | Slovenia: Benjamin Sesko(56.2M, χειρ.)"
NL D,2026-10-04T13:00,Azerbaijan - Lithuania,60,1.30-1.00,40/34/27,95,1.43-0.96,44/33/24,62,1.29-0.99,39/34/27,,—,,,,,,,,,,,,,,,,,,,,,,,"Azerbaijan: Nəriman Akhundzada(2.1M), Elvin Cəfərquliyev(1.2M)"
NL B,2026-10-04T16:00,Kosovo - Austria,-85,1.17-1.58,23/32/44,-55,1.19-1.46,26/33/41,-77,1.17-1.55,24/33/43,,—,,,,,,,,,,,,,,,,,,,,,,,"Austria: Christoph Baumgartner(14.8M), Leopold Querfeld(13.8M)"
NL D,2026-10-04T16:00,Malta - Andorra,316,2.04-0.50,72/20/9,195,1.79-0.85,57/28/16,248,2.01-0.81,63/24/12,,—,,,,,,,,,,,,,,,,,,,,,,,
NL A,2026-10-04T18:45,Greece - Germany,-181,0.89-1.78,15/28/57,-178,0.94-1.80,16/28/57,-228,0.90-2.00,12/25/63,,—,,,,,,,,,,,,,,,,,,,,,,,Greece: Giannis Konstantelias(15.6M)
NL A,2026-10-04T18:45,Netherlands - Serbia,357,2.47-0.73,76/17/7,369,2.53-0.74,76/17/7,436,2.80-0.69,82/13/5,,—,,,,,,,,,,,,,,,,,,,,,,,"Netherlands: Xavi Simons(47.1M), Matthijs de Ligt(39.9M) | Serbia: Nikola Milenković(25.6M), Veljko Milosavljević(24.1M)"
NL A,2026-10-04T18:45,Portugal - Norway,129,1.85-1.22,49/31/20,167,2.04-1.23,53/29/18,182,2.10-1.22,55/29/17,,—,,,,,,,,,,,,,,,,,,,,,,,"Portugal: Matheus Nunes(38.3M), Rodrigo Mora(34.1M)"
NL A,2026-10-04T18:45,Wales - Denmark,-174,0.86-1.71,16/28/56,-195,0.84-1.79,14/27/59,-236,0.81-1.96,12/24/64,,—,,,,,,,,,,,,,,,,,,,,,,,"Wales: Harry Wilson(15.1M), Joe Rodon(13.5M) | Denmark: Mika Biereth(22.2M), Conrad Harder(18.3M)"
NL B,2026-10-04T18:45,Ireland - Israel,154,1.82-1.07,52/30/18,125,1.70-1.09,47/31/21,178,1.91-1.05,54/29/17,,—,,,,,,,,,,,,,,,,,,,,,,,"Ireland: Nathan Collins(31.8M), Evan Ferguson(18.0M)"
NL C,2026-10-05T16:00,Cyprus - Latvia,143,1.63-0.93,50/30/19,138,1.59-0.92,49/31/20,180,1.77-0.89,55/29/17,,—,,,,,,,,,,,,,,,,,,,,,,,"Cyprus: Konstantinos Laifis(0.7M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Christos Sielis(0.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται) | Latvia: Kristaps Grabovskis(0.3M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Raimonds Krollis(1.4M)"
NL A,2026-10-05T18:45,France - Belgium,236,2.32-1.16,62/25/13,233,2.09-0.96,61/25/13,289,2.32-0.92,68/22/10,,—,,,,,,,,,,,,,,,,,,,,,,,"France: William Saliba(82.1M), Hugo Ekitiké(79.1M) | Belgium: Malick Fofana(27.5M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται), Koni De Winter(20.9M, εκτος αποστολης στο προηγουμενο — δεν αφαιρειται)"
